timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730966008916,185,Select Product,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-2,text,true,,4093,681,22,29,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-01,185,0,0
1730966006024,203,Select Product - 3,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-6,,true,,4039,681,6,29,null,0,2951,0
1730966008974,203,Select Product - 3-32,200,,Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-6,text,true,,4039,681,6,29,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=K9-RT-01,203,0,0
1730966009178,0,Select Item - 3,,,Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-6,,true,,0,0,6,29,null,0,0,0
1730966007455,199,Select Product - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-23,,true,,4119,681,22,28,null,0,1579,0
1730966009034,199,Select Product,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-23,text,true,,4119,681,22,28,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-02,199,0,0
1730966009233,0,Select Item - 2,,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-23,,true,,0,0,22,28,null,0,0,0
1730966006553,188,Select Product - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-1,,true,,4093,681,21,27,null,0,2592,0
1730966009145,188,Select Product,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-1,text,true,,4093,681,21,27,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-01,188,0,0
1730966007028,197,Select Category - 3,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-4,,true,,4408,649,5,27,null,0,2206,0
